Feature,Importance
Unnamed: 0,0.42148274
F3348_missing,0.15302499
F3898,0.098316416
F3675_missing,0.04454542
F1824,0.04016736
F3484,0.025395393
F1381,0.018886019
F3490,0.018308843
row_std,0.017223632
F2074,0.016642915
row_mean,0.0140327765
F1537,0.013534083
F3640,0.011743401
F2137,0.0103663765
F2293_missing,0.01016578
F1275,0.009929208
F3813,0.008367434
F3043,0.007408328
F3642,0.0043890825
missing_count,0.0041442
F3780_missing,0.0035912988
F3811,0.0028332875
F3889,0.002697849
F2138,0.0023047153
F1923,0.0022148697
F1921,0.0018771185
F3804,0.0016614518
F2187,0.0016435006
F3836,0.0013735129
F3493,0.0013502749
F3499,0.0013090707
F1539,0.0012450351
F2029,0.0012201979
F3812,0.0011581191
F2582,0.0011295745
F3748,0.0011274334
F670_x_F115,0.0010876729
F1922,0.0010155719
F3532,0.0009826354
F1167,0.0009479252
row_max,0.00082842703
F951,0.0008260928
row_min,0.0008257394
F52_missing,0.0008135375
F2144,0.00076710706
F2182,0.00074624614
F3799,0.00073651713
F1383,0.0006411155
F1692,0.00063873816
F1858,0.0005866334
F1431,0.0005214182
F1166,0.0004771967
F3456_missing,0.00047615237
F270,0.00043539348
F321,0.00043367787
F3722_missing,0.0003971616
F1285,0.00039233535
F3753,0.00038106684
F2151,0.00037421868
F3894,0.00035351273
F3805,0.00035195696
F558_missing,0.00033440953
F2386,0.00032192195
F1819,0.00031542665
F161,0.0003092682
F950,0.00030913163
F469,0.0002949014
F1165,0.00028743374
row_range,0.00028635573
diff_F2082_F2122,0.00024078313
F115,0.00023129716
F543_missing,0.00021645008
F1394,0.00020690802
F2122,0.00020099648
F2291,0.0001910557
F62,0.00018250904
F3807,0.0001762611
F2956,0.00017538985
F531,0.00016332441
F2737,0.00015773716
F1813,0.00015389512
F2553,0.00015118018
F1647,0.00015084389
F2290,0.00014439083
F1815,0.00013977652
F2489,0.00013509688
ratio_F2678_F2956,0.00011761665
F3700,0.00010952497
sum_F2082_F2122,0.00010702016
F527,9.879939e-05
F471,9.8432785e-05
diff_F2956_F3043,9.661863e-05
F435,8.809221e-05
F265,8.567445e-05
F1933,8.4289015e-05
F1173,8.426881e-05
F2030,6.193223e-05
F3908,5.3852673e-05
diff_F2678_F2956,5.2069543e-05
F159,4.9915994e-05
F1598,4.9478243e-05
F2390,4.792479e-05
F162,4.088641e-05
F1387,3.895412e-05
F2678,3.7502323e-05
F670,3.7402875e-05
F267,3.4910958e-05
F160,3.4282606e-05
F1597,3.2580658e-05
F2894,3.217473e-05
F2784,2.4906069e-05
F2150,2.1840284e-05
F3887,1.5990316e-05
F2484,1.4615287e-05
F2686,1.278546e-05
F2145,8.3338655e-06
F1929,8.107684e-07
F2149,0.0
F2082,0.0
F3119_missing,0.0
F3891,0.0
ratio_F2956_F3043,0.0
ratio_F2082_F2122,0.0
F670_squared,0.0
